קוד UK,שם,מחיר ספק,מחיר אצלנו,מחיר מחוק,מגיע בקרוב,תאריך צפי,כמות באריזה,קטגוריה,תת-קטגוריה,תמונה
UK68062,"סט טלית תפילין עור מהודר 33x37 ס""מ - כחול כהה",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68062.webp
UK68063,"סט טלית תפילין עור מהודר 33x37 ס""מ - אפור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68063.webp
UK68065,"סט טלית תפילין עור מהודר 33x37 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68065.webp
UK68068,"סט טלית תפילין עור מהודר 33x37 ס""מ - חום",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68068.webp
UK68045,"סט טלית תפילין עור מהודר ""יברכך"" 33x37 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68045.webp
UK68048,"סט טלית תפילין עור מהודר ""יברכך"" 33x37 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68048.webp
UK68061,"סט טלית תפילין עור מהודר 33x37 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68061.webp
UK68064,"סט טלית תפילין עור מהודר 33x37 ס""מ - חום",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68064.webp
UK68076,"סט טלית תפילין עור מהודר ""יברכך"" 33x37 ס""מ - אפור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68076.webp
UK68078,"סט טלית תפילין עור מהודר ""האש שלי"" 29x38 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68078.webp
UK67816,סט טלית תפילין עור אמיתי איכותי,269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/67816.webp
UK67818,סט טלית תפילין עור אמיתי איכותי,269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/67818.webp
UK67822,סט טלית תפילין עור אמיתי איכותי,269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/67822.webp
UK68073,"סט טלית תפילין עור מהודר 33x37 ס""מ - גווני חום",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68073.webp
UK68074,"סט טלית תפילין עור מהודר 33x37 ס""מ - לבן",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68074.webp
UK68075,"סט טלית תפילין עור מהודר 33x37 ס""מ - שחור",269.99,423,529,כן,02/08/2026,1,תיקי טלית ותפילין,סטים לטלית מעור אמיתי,https://www.israel-judaica.com/webp/68075.webp
UK56166,"תוף מרים עם הדפסה ירושלים 25 ס""מ",32.99,52,65,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/56166.webp
UK57129,"תוף מרים עם הדפסה מזמור לתודה 25 ס""מ",32.99,52,65,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/57129.webp
UK83426,"ברכה לכלה אקריליק כסף, עיגול 2220 ס""מ",32.99,52,65,,,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/83426.webp
UK83427,"ברכה לכלה אקריליק כסף, מלבן 2218 ס""מ",32.99,52,65,,,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/83427.webp
UK82774,"תפילה לכלה ""לב"" אקריליק 24 ס""מ",36.99,58,73,כן,21/08/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/big/82774.jpg
UK81947,"ברכה לכלה אקריליק זהב 25X14 ס""מ",36.99,58,73,כן,21/08/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/big/81947.jpg
UK83609,"ברכה לכלה אקריליק כסף 25X14 ס""מ",36.99,58,73,,,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/83609.webp
UK59495,"תפילה לכלה אקריליק מהודרת 21x16 ס""מ - כסף",34.99,55,69,,,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/59495.webp
UK86197,"תפילה לכלה אקריליק מהודרת 21x16 ס""מ - זהב",34.99,55,69,,,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/86197.webp
UK59000,"סט לחתן כלה 4 חלקים לבן רקמה זהב, הסט מכיל 2 מגבות פנים, 2 מגבות גוף.",149.99,235,294,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/59000.webp
UK59080,"סט לחתן כלה 4 חלקים לבן רקמה כסף, הסט מכיל 2 מגבות פנים, 2 מגבות גוף.",149.99,235,294,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/59080.webp
UK58937,"סט לחתן כלה 4 חלקים לבן רקמה כסף, הסט מכיל 2 מגבות פנים, 2 מגבות גוף.",149.99,235,294,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/58937.webp
UK59101,"סט לחתן כלה 4 חלקים לבן רקמה זהב, הסט מכיל 2 מגבות פנים, 2 מגבות גוף.",149.99,235,294,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/59101.webp
UK86200,"סט לחתן כלה 6 חלקים לבן רקמה כסף, הסט מכיל 2 מגבות פנים, 2 מגבות גוף, כרית לטבעות וברכת כלה",179.99,282,353,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/86200.webp
UK86295,"סט לחתן כלה 6 חלקים לבן רקמה זהב, הסט מכיל 2 מגבות פנים, 2 מגבות גוף, כרית לטבעות וברכת כלה",179.99,282,353,כן,30/07/2026,1,שבת,הפרשת חלה,https://www.israel-judaica.com/webp/86295.webp
UK59817,אגרטל קריסטל זר פרחים זהב 11סמ,39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/59817.webp
UK59818,אגרטל קריסטל זר פרחים זהב 11סמ,39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/59818.webp
UK59819,אגרטל קריסטל זר פרחים כחול 11סמ,39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/59819.webp
UK83599,אגרטל קריסטל זר פרחים זהב 11סמ,44.99,71,88,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83599.webp
UK82329,"ברכה לתלייה זכוכית בלתי שבירה ברכת הבית 16x19 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82329.jpg
UK82330,"ברכה לתלייה זכוכית בלתי שבירה ברכת העסק 16x19 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82330.webp
UK82331,"ברכה לתלייה זכוכית בלתי שבירה מזמור לתודה 16x19 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82331.jpg
UK82332,"ברכה לתלייה זכוכית בלתי שבירה הדלקת נרות 16x20 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82332.webp
UK82333,"ברכה לתלייה זכוכית בלתי שבירה אשר יצר ספרדי 16x19 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82333.jpg
UK82334,"ברכה לתלייה זכוכית בלתי שבירה אשר יצר אשכנזי 16x19 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82334.jpg
UK82335,"ברכה לתלייה זכוכית בלתי שבירה אשת חיל 16x21 ס""מ",15.99,25,31,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82335.webp
UK82337,"ברכה לתלייה זכוכית בלתי שבירה ברכת העסק 28x23 ס""מ",19.99,31,39,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82337.webp
UK82341,"ברכה לתלייה זכוכית בלתי שבירה אשר יצר אשכנזי 28x23 ס""מ",19.99,31,39,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82341.jpg
UK82342,"ברכה לתלייה זכוכית בלתי שבירה אשת חיל 28x23 ס""מ",19.99,31,39,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82342.jpg
UK82338,"ברכה לתלייה זכוכית בלתי שבירה מזמור לתודה 28x23 ס""מ",19.99,31,39,כן,30/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82338.jpg
UK40743,"ברכה לתלייה זכוכית מזמור לתודה 13x21 ס""מ",16.99,27,33,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/40743.jpg
UK42482,"ברכה לתלייה זכוכית אשר יצר אשכנזי 13x21 ס""מ",16.99,27,33,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/42482.jpg
UK42483,"ברכה לתלייה זכוכית שיר מעלות 13x21 ס""מ",16.99,27,33,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/42483.jpg
UK59399,"סדר הדלקת נרות שבת אקריליק עומד זהב 13X22 ס""מ - עם הדפסה",24.99,39,49,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/59399.webp
UK82793,אשר יצר ספרדי מלבן אקריליק מסגרת זהב,44.99,71,88,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82793.jpg
UK82794,אשר יצר אשכנזי מלבן אקריליק מסגרת זהב,44.99,71,88,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82794.jpg
UK82796,מזמור לתורה מלבן אקריליק מסגרת זהב,44.99,71,88,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82796.jpg
UK55944,"ברכת מעין שלוש מאקריליק נוסח עדות המזרח 22X15 ס""מ",49.99,78,98,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55944.webp
UK55946,"ברכת מעין שלוש מאקריליק נוסח אשכנזי 22X15 ס""מ",49.99,78,98,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55946.webp
UK82177,"מזמור לתודה אקריליק 29X35 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82177.webp
UK89672,"ברכת הבית אקריליק 21x13 ס""מ - עלים ומסגרת זהב",39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/89672.webp
UK89673,"ברכת הבית אנגלית אקריליק 21x13 ס""מ - עלים ומסגרת זהב",39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/89673.webp
UK89674,"ברכת העסק אקריליק 21x13 ס""מ - עלים ומסגרת זהב",39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/89674.webp
UK89675,"מזמור לתודה אקריליק 21x13 ס""מ - עלים ומסגרת זהב",39.99,63,78,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/89675.webp
UK55797,"הדלקת נרות אקריליק בלוק עם עיצוב נרות מובלטים כסף 23X20 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55797.webp
UK55798,"הדלקת נרות אקריליק בלוק עם עיצוב נרות מובלטים והדפסה זהב 23X20 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55798.webp
UK83349,"הדלקת נרות אקריליק בלוק עם עיצוב נרות מובלטים זהב 23X20 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83349.webp
UK55794,"בלוק מזמור לתודה אקריליק אותיות חתוכות כסף 25X20 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55794.webp
UK55795,"מזמור לתודה אקריליק לתליה אותיות חתוכות כסף 25X20 ס""מ",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55795.webp
UK55796,"מזמור לתודה אקריליק לתליה אותיות חתוכות זהב 25X20 ס""מ",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/55796.webp
UK83359,"בלוק מזמור לתודה אקריליק אותיות חתוכות זהב 25X20 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83359.webp
UK57576,"ברכת הבית אקריליק בלוק ירושלים 2416 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/57576.webp
UK57579,"ברכת העסק אקריליק בלוק ירושלים 2416 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/57579.webp
UK57580,"הדלקת נרות אקריליק בלוק ירושלים 2416 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/57580.webp
UK57581,"מזמור לתודה אקריליק בלוק ירושלים 2416 ס""מ",99.99,157,196,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/57581.webp
UK82930,"הדלקת נרות אקריליק 21 ס""מ - דגם שיש ורוד",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82930.webp
UK82931,"הדלקת נרות אקריליק 21 ס""מ - דגם שיש תכלת",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82931.webp
UK82932,"מזמור לתודה אקריליק 21 ס""מ - דגם שיש ורוד",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82932.webp
UK82933,"מזמור לתודה אקריליק 21 ס""מ - דגם שיש תכלת",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/82933.webp
UK81518,"מעמד קריסטל זהב מהודר עם מזמור לתודה 21 ס""מ",89.99,141,176,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/81518.jpg
UK84219,"מסגרת זכוכית מהודרת הדלקת נרות 22X17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/84219.webp
UK84372,"מסגרת זכוכית מהודרת ברכת הבית 22X17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/84372.webp
UK84374,"מסגרת זכוכית מהודרת אשת חיל 22X17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/84374.webp
UK84321,"מסגרת זכוכית מהודרת אשר יצר נוסח אשכנזי 22X17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/84321.webp
UK84351,"מסגרת זכוכית מהודרת מזמור לתודה 22X17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/84351.webp
UK84939,"מסגרת זכוכית נצנצים עיצוב ""קווים"" רוז גולד אשת חיל 22x17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/84939.webp
UK85100,"מסגרת זכוכית נצנצים עיצוב ""קווים"" רוז גולד הדלקת נרות 22x17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/85100.webp
UK85275,"מסגרת זכוכית נצנצים עיצוב ""קווים"" רוז גולד ברכת הבית 22x17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/85275.webp
UK85347,"מסגרת זכוכית נצנצים עיצוב ""קווים"" רוז גולד מזמור לתודה 22x17 ס""מ",17.99,28,35,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/85347.webp
UK81924,"תמונה ""פיטום הקטורת"" עם מסגרת 4017 ס""מ",59.99,94,118,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/81924.webp
UK81925,"תמונה ""פיטום הקטורת"" עם מסגרת 6430 ס""מ",69.99,110,137,,,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/81925.webp
UK81886,"ברכת הבית בלוק פולימר בטון 22X16 ס""מ לבן",89.99,141,176,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/81886.jpg
UK82391,"ברכת הבית בלוק פולימר 22X16 ס""מ",89.99,141,176,כן,09/08/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/big/82391.jpg
UK83923,"מזמור לתודה בלוק פולימר בטון 22X16 ס""מ",89.99,141,176,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83923.webp
UK83924,"מזמור לתודה בלוק פולימר בטון 22X16 ס""מ לבן",89.99,141,176,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83924.webp
UK83921,"מזמור לתודה בלוק פולימר בטון דמוי אבן לבן 22X16 ס""מ",89.99,141,176,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83921.webp
UK83951,"מזמור לתודה בלוק פולימר בטון 22X16 ס""מ",89.99,141,176,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83951.webp
UK83952,"ברכת הבית בלוק פולימר בטון לבן 22X16 ס""מ",89.99,141,176,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83952.webp
UK83292,"ברכת הבית בלוק פולימר בטון 19X14.5 ס""מ",99.99,157,196,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83292.webp
UK83324,"מזמור לתודה בלוק פולימר בטון 23X15 ס""מ",99.99,157,196,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83324.webp
UK83395,"הדלקת נרות פולימר בטון בלוק 23.518.5 ס""מ",99.99,157,196,כן,18/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83395.webp
UK85348,"הדלקת נרות פוליריזן בלוק 23.518.5 ס""מ",109.99,172,216,כן,09/08/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/85348.webp
UK83079,"תמונת קנווס ""אותיות בולטות "" ברכת הבית 35x25 ס""מ",32.99,52,65,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83079.webp
UK83080,"תמונת קנווס ""אותיות בולטות "" ברכת העסק 35x25 ס""מ",32.99,52,65,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83080.webp
UK83084,"תמונת קנווס ""אותיות בולטות "" מזמור לתודה 35x25 ס""מ",32.99,52,65,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83084.webp
UK83091,"תמונת קנווס ""אותיות בולטות "" אשר יצר נוסח ע.מ. 35x",32.99,52,65,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83091.webp
UK59653,"תמונת קנווס ""אותיות בולטות "" ברכת הבית אנגלית 35x25 ס""מ",32.99,52,65,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/59653.webp
UK83092,"תמונת קנווס ""אותיות בולטות "" ברכת הבית הבבא סאלי 3",32.99,52,65,כן,22/07/2026,1,יודאיקה,ברכונים,https://www.israel-judaica.com/webp/83092.webp
UK47267,"חמסה מתכת ברכת הבית אנגלית מט 13 ס""מ",32.99,52,65,,,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/big/47267.jpg
UK49450,"סט נד 24 יח מעורב של חמסות אקריליק לרכב 8 ס""מ",10.99,17,22,כן,21/08/2026,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/webp/49450.webp
UK83230,סטנד 24 יח חמסה לרכב מזמור לתודה ותפילת הדרך,10.99,17,22,,,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/webp/83230.webp
UK83231,סטנד 24 יח ברכה מלבנית לרכב מזמור לתודה ותפילת הדרך,10.99,17,22,,,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/webp/83231.webp
UK47374,"חמסה ""פולימר בטון "" ""ברכת העסק"" עברית 19 ס""מ",39.99,63,78,כן,18/07/2026,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/big/47374.jpg
UK55852,"חמסה ""סמנט בטון"" ברכת העסק עברית 19 ס""מ",39.99,63,78,כן,09/08/2026,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/webp/55852.webp
UK81496,"חמסה ""סמנט בטון"" ברכת הבית עברית 19 ס""מ",39.99,63,78,כן,09/08/2026,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/big/81496.jpg
UK82782,"חמסה ""סמנט בטון"" ברכת הבית עברית 19 ס""מ",39.99,63,78,כן,09/08/2026,1,יודאיקה,חמסות וסגולות,https://www.israel-judaica.com/big/82782.jpg
UK81586,פקק רב פעמי לבקבוק יין מקריסטל עם פלקטה,21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/81586.jpg
UK81831,"פקק ליין קריסטל עם פלקטה ""עיטור""",21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/81831.jpg
UK81833,"פקק ליין קריסטל עם פלקטה ""פיליגרין"" בורא פרי הגפן",21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/81833.jpg
UK82146,"פקק ליין קריסטל עם פלקטה ""פסים"" בורא פרי הגפן",21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/82146.jpg
UK82147,"פקק ליין קריסטל עם פלקטה ""פרחים"" בורא פרי הגפן",21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/82147.jpg
UK82888,פקק רב פעמי לבקבוק יין מקריסטל עם פלקטה,21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/82888.jpg
UK82889,פקק רב פעמי לבקבוק יין מקריסטל עם פלקטה,21.99,34,43,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/82889.jpg
UK46232,סטנד מעורב פקק לבקבוק יין 12 יח,19.99,31,39,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/46232.jpg
UK41098,סט בקבוק קריסטל ליין עם פלקטה מהודרת עם 6 כוסות,149.99,235,294,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/41098.jpg
UK47089,"גביע קידוש ירושלים בורא פרי הגפן 12 ס""מ תכולה 100",49.99,78,98,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/47089.jpg
UK40641,"גביע קידוש פיוטר עם רגל ""ירושלים"" 16 ס""מ עם תחת",79.99,125,157,כן,22/07/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/40641.webp
UK42484,"גביע קידוש מהודר מנירוסטה 10 ס""מ עם חריטה ורגל",29.99,47,59,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/42484.jpg
UK42485,"גביע קידוש מהודר נירוסטה עם רגל 9.5 ס""מ תכולה 210",29.99,47,59,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/big/42485.jpg
UK82738,"גביע קידוש אלומיניום מהודר עם תחתית שחור 9 ס""מ",49.99,78,98,,,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/82738.webp
UK41048,"גביע קידוש מהודר מפולימר בטון כהה עם תחתית 8 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41048.webp
UK41060,"גביע קידוש מהודר מפולימר צבע חול עם תחתית 8 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41060.webp
UK83441,"גביע קידוש מהודר פולימר בטון עם תחתית 8 ס""מ",69.99,110,137,כן,18/07/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/83441.webp
UK41046,"גביע קידוש מהודר מפולימר בטון כהה עם תחתית 8 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41046.webp
UK41047,"גביע קידוש מהודר מפולימר בטון כהה עם תחתית 8 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41047.webp
UK41061,"גביע קידוש מהודר מפולימר צבע חול עם תחתית 8 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41061.webp
UK41062,"גביע קידוש מהודר מפולימר בטון כהה עם תחתית 10 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41062.webp
UK86402,"גביע קידוש מהודר מפולימר עם תחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/86402.webp
UK40873,"גביע קידוש מהודר מפולימר ""בורא"" בטון בהיר עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/40873.webp
UK40876,"גביע קידוש מהודר מפולימר ""האש שלי"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/40876.webp
UK41017,"גביע קידוש מהודר מפולימר בטון כהה ""בורא"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41017.webp
UK41021,"גביע קידוש מהודר מפולימר בטון כהה ""בורא"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41021.webp
UK40863,"גביע קידוש מהודר מפולימר לבן עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/40863.webp
UK41012,"גביע קידוש מהודר מפולימר צבע חול ""בורא"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41012.webp
UK41038,"גביע קידוש מהודר מפולימר בטון כהה ""בורא"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41038.webp
UK41045,"גביע קידוש מהודר מפולימר בטון כהה ""האש שלי"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41045.webp
UK40886,"גביע קידוש מהודר מפולימר ""בורא"" צבע חול עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/40886.webp
UK41015,"גביע קידוש מהודר מפולימר בטון כהה ""בורא"" עם רגל ותחתית 15 ס""מ",69.99,110,137,כן,09/08/2026,1,שבת,כוסות קידוש,https://www.israel-judaica.com/webp/41015.webp
